data,predict,target
washington,PLAIN,ELECTRONIC
07,CARDINAL,DIGIT
Ahli,LETTERS,PLAIN
SPEAK,LETTERS,PLAIN
OAM,PLAIN,LETTERS
RIFTHP,PLAIN,LETTERS
HybridCars,PLAIN,ELECTRONIC
1992,DATE,CARDINAL
fl,PLAIN,LETTERS
ORAC,LETTERS,PLAIN
SES,PLAIN,LETTERS
320,DIGIT,CARDINAL
567,CARDINAL,DIGIT
Waldvierte,PLAIN,ELECTRONIC
1904,DATE,CARDINAL
zkp,PLAIN,LETTERS
Dy,PLAIN,LETTERS
Cik,PLAIN,LETTERS
9,CARDINAL,DIGIT
CUTs,LETTERS,PLAIN
1978,DATE,CARDINAL
-,PUNCT,PLAIN
283,CARDINAL,DECIMAL
Popmatters,PLAIN,ELECTRONIC
A,LETTERS,PLAIN
1029's,DIGIT,DATE
USTED,LETTERS,PLAIN
3300,CARDINAL,DIGIT
PISSLRE,PLAIN,LETTERS
UCLABruins,PLAIN,ELECTRONIC
2012,DATE,CARDINAL
obci,PLAIN,LETTERS
2011,DATE,CARDINAL
Cen,PLAIN,LETTERS
Ke,PLAIN,LETTERS
uncu,PLAIN,LETTERS
dir,PLAIN,LETTERS
jkde,PLAIN,LETTERS
OIS,PLAIN,LETTERS
1977,DATE,CARDINAL
Wyzsza,LETTERS,PLAIN
1942,DATE,CARDINAL
PRIMJENI,PLAIN,LETTERS
solarbotic,PLAIN,ELECTRONIC
IRMA,LETTERS,PLAIN
Wim,PLAIN,LETTERS
8123,CARDINAL,DIGIT
911,CARDINAL,TELEPHONE
Zhe,PLAIN,LETTERS
gobearcats,PLAIN,ELECTRONIC
2008,DATE,CARDINAL
FAUD,LETTERS,PLAIN
HEMRL,PLAIN,LETTERS
41,CARDINAL,DIGIT
SIFO,PLAIN,LETTERS
1000,DIGIT,CARDINAL
F,LETTERS,PLAIN
ETSU,LETTERS,PLAIN
Wau,PLAIN,LETTERS
LOM,PLAIN,LETTERS
Ves,PLAIN,LETTERS
IUA,PLAIN,LETTERS
0907318037,TELEPHONE,DIGIT
MI,LETTERS,PLAIN
NIV,LETTERS,PLAIN
Vrsac,PLAIN,LETTERS
V.,LETTERS,ORDINAL
Asar,PLAIN,LETTERS
srpskih,PLAIN,LETTERS
MANIKESVAR,PLAIN,LETTERS
egészért,PLAIN,LETTERS
80,CARDINAL,DECIMAL
1995,DATE,CARDINAL
106,CARDINAL,DECIMAL
22624 / 23,TELEPHONE,FRACTION
IoT,PLAIN,LETTERS
AKI,LETTERS,PLAIN
NIG,LETTERS,PLAIN
Rara,PLAIN,LETTERS
nayyir,PLAIN,LETTERS
1926,DATE,CARDINAL
p,PLAIN,LETTERS
irishchart,PLAIN,ELECTRONIC
TACP,PLAIN,LETTERS
SUBORD,PLAIN,LETTERS
PREMIS,PLAIN,LETTERS
Seok,PLAIN,LETTERS
WOU,PLAIN,LETTERS
I 001,MONEY,ADDRESS
WIKINOTICI,PLAIN,LETTERS
eTOM,LETTERS,PLAIN
dnia,PLAIN,LETTERS
AGIn,LETTERS,PLAIN
Ecma,PLAIN,LETTERS
Viimsi,PLAIN,LETTERS
Idzi,LETTERS,PLAIN
I,PLAIN,LETTERS
2002,DATE,CARDINAL
KUZHE,PLAIN,LETTERS
J,LETTERS,PLAIN
Bn,PLAIN,VERBATIM
Kléber,PLAIN,LETTERS
FRA,LETTERS,PLAIN
1925,CARDINAL,DATE
AMISOM,LETTERS,PLAIN
NOUL,PLAIN,LETTERS
f,LETTERS,PLAIN
AOA,PLAIN,LETTERS
402,CARDINAL,DIGIT
AISI,LETTERS,PLAIN
2002-09-02,TELEPHONE,DATE
Barh,PLAIN,LETTERS
ERCIM,PLAIN,LETTERS
Soe,PLAIN,LETTERS
"100,000 do",MEASURE,MONEY
Oiso,PLAIN,LETTERS
1939,CARDINAL,DATE
Llerg,PLAIN,LETTERS
2011,DATE,DIGIT
747,CARDINAL,DIGIT
mundoandin,PLAIN,ELECTRONIC
niqw,PLAIN,LETTERS
201,CARDINAL,DIGIT
17441692.2,CARDINAL,DECIMAL
Atos,PLAIN,LETTERS
LOWSS,PLAIN,LETTERS
P,LETTERS,PLAIN
925,CARDINAL,DECIMAL
Crimelibr,PLAIN,ELECTRONIC
PALASKHEDE,PLAIN,LETTERS
Jio's,PLAIN,LETTERS
Foi,LETTERS,PLAIN
2005,DATE,CARDINAL
HOCLNL,PLAIN,LETTERS
VEN,LETTERS,PLAIN
gedenkdien,PLAIN,ELECTRONIC
JOOTS,PLAIN,LETTERS
xmp,PLAIN,LETTERS
SY,LETTERS,PLAIN
WHA,LETTERS,PLAIN
ETC,LETTERS,PLAIN
8218,DIGIT,CARDINAL
ngad,PLAIN,LETTERS
p,LETTERS,PLAIN
1989,DATE,CARDINAL
479,CARDINAL,DIGIT
a'r,PLAIN,LETTERS
Paarl,PLAIN,LETTERS
Myo,PLAIN,LETTERS
Paes,PLAIN,LETTERS
cGMP,LETTERS,VERBATIM
1027,DIGIT,DATE
ius,PLAIN,LETTERS
v,PLAIN,LETTERS
VOCAL,LETTERS,PLAIN
Msida,PLAIN,LETTERS
2,CARDINAL,DECIMAL
MR,LETTERS,PLAIN
49,CARDINAL,DECIMAL
SMERSH,LETTERS,PLAIN
Eg,PLAIN,LETTERS
Kafr,PLAIN,LETTERS
NAMA,PLAIN,LETTERS
Vix,PLAIN,LETTERS
2006,DATE,CARDINAL
TRE,PLAIN,LETTERS
19,CARDINAL,DIGIT
RAA,PLAIN,LETTERS
SESARAM,PLAIN,LETTERS
GLAD,LETTERS,PLAIN
-,PUNCT,PLAIN
IshinryuAu,PLAIN,ELECTRONIC
tpg,PLAIN,LETTERS
AH,PLAIN,LETTERS
x,LETTERS,PLAIN
Koks,PLAIN,LETTERS
1999,DATE,CARDINAL
cv,LETTERS,VERBATIM
Eois,PLAIN,LETTERS
D,PLAIN,LETTERS
D,LETTERS,PLAIN
'honograph,ELECTRONIC,PLAIN
1992,DATE,CARDINAL
GER,PLAIN,LETTERS
WARM,LETTERS,PLAIN
Susq,PLAIN,LETTERS
Fmaj,PLAIN,LETTERS
WK,LETTERS,PLAIN
NALS,PLAIN,LETTERS
southcoast,PLAIN,ELECTRONIC
PAFTAD,PLAIN,LETTERS
Hol,PLAIN,LETTERS
FACCo's,LETTERS,PLAIN
677,CARDINAL,DIGIT
Siv,PLAIN,LETTERS
2013,CARDINAL,DATE
II,CARDINAL,ORDINAL
SET,LETTERS,PLAIN
Whyld,PLAIN,LETTERS
EAC,PLAIN,LETTERS
pt,PLAIN,LETTERS
abc,PLAIN,LETTERS
Izzi,LETTERS,PLAIN
esp,LETTERS,PLAIN
gli,PLAIN,LETTERS
2,CARDINAL,DIGIT
asum,LETTERS,PLAIN
b,LETTERS,PLAIN
U,LETTERS,PLAIN
D'costa,LETTERS,PLAIN
Akt,PLAIN,LETTERS
"83""",CARDINAL,MEASURE
Fadl,PLAIN,LETTERS
ARTROM,PLAIN,LETTERS
cdcd,PLAIN,VERBATIM
Magd,PLAIN,LETTERS
2061,DATE,DIGIT
TEUs,PLAIN,LETTERS
onlineAbeB,ELECTRONIC,PLAIN
ABBA's,LETTERS,PLAIN
p,PLAIN,LETTERS
atyu,PLAIN,LETTERS
sik,PLAIN,LETTERS
2013,DATE,CARDINAL
KOP,PLAIN,LETTERS
OYUN,LETTERS,PLAIN
INTERPOESI,PLAIN,LETTERS
plx,PLAIN,LETTERS
MOBOs,PLAIN,LETTERS
nt,LETTERS,VERBATIM
ISI,LETTERS,PLAIN
HONORIS,PLAIN,LETTERS
1983,DATE,CARDINAL
GEE,LETTERS,PLAIN
SAAT,PLAIN,LETTERS
Iti,PLAIN,LETTERS
EDDIE,LETTERS,PLAIN
2007,CARDINAL,DATE
m,PLAIN,LETTERS
IDA,LETTERS,PLAIN
saadanipar,PLAIN,ELECTRONIC
OA,LETTERS,PLAIN
2013,CARDINAL,DATE
CMOS,LETTERS,PLAIN
Orgasmatri,PLAIN,ELECTRONIC
niet,PLAIN,LETTERS
Oetje,PLAIN,LETTERS
Flightglob,ELECTRONIC,PLAIN
jiaoyu,PLAIN,LETTERS
Jil,PLAIN,LETTERS
HeJ,PLAIN,LETTERS
DAVID,LETTERS,PLAIN
2002,DATE,CARDINAL
FamilySear,PLAIN,ELECTRONIC
I,PLAIN,ORDINAL
Arzt,PLAIN,LETTERS
85,DIGIT,CARDINAL
JOOI,PLAIN,LETTERS
Mbiti,PLAIN,LETTERS
Paasa,PLAIN,LETTERS
1,DIGIT,CARDINAL
2008,DATE,CARDINAL
vez,PLAIN,LETTERS
v,PLAIN,LETTERS
ORGANIC,LETTERS,PLAIN
n,LETTERS,PLAIN
AWA,PLAIN,LETTERS
ERAD,PLAIN,LETTERS
PES,PLAIN,LETTERS
Hek,PLAIN,LETTERS
ikan,LETTERS,PLAIN
236,CARDINAL,DECIMAL
SED,PLAIN,LETTERS
Maegd,PLAIN,LETTERS
OLAYI,PLAIN,LETTERS
SYSMODS,PLAIN,LETTERS
philippine,PLAIN,ELECTRONIC
SEARC,PLAIN,LETTERS
recipients,PLAIN,ELECTRONIC
20141104,DIGIT,CARDINAL
MarylandNy,PLAIN,ELECTRONIC
rsssf,PLAIN,VERBATIM
SPERI,PLAIN,LETTERS
MOTM,PLAIN,LETTERS
DistroWatc,PLAIN,ELECTRONIC
HROP,PLAIN,LETTERS
Kwo,PLAIN,LETTERS
IVI,LETTERS,PLAIN
BATTLE,PLAIN,LETTERS
N,PLAIN,LETTERS
LACoFD,PLAIN,LETTERS
PAFSAM,PLAIN,LETTERS
TVhttp,PLAIN,VERBATIM
SMtv,LETTERS,VERBATIM
Ifa,PLAIN,LETTERS
Kaj,PLAIN,LETTERS
FALRET,PLAIN,LETTERS
EVA,PLAIN,LETTERS
Bws,PLAIN,VERBATIM
RUMANIAN,PLAIN,LETTERS
BAS,PLAIN,LETTERS
Piz,PLAIN,LETTERS
